"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-09-19T12:21:51.182Z"
"CLI Version","2.2.8"
"WILD Version","1.0.11"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"through2","2.0.3","false","Exempt - Version closely related to 2.0.0","MIT,UNKNOWN","MIT","Needs Review","node_modules/through2"
"timed-out","4.0.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/timed-out"
"tmp","0.0.29","false","Exempt - Version closely related to 0.0.24","MIT","MIT","Approved","node_modules/tmp"
"tough-cookie","2.3.2","false","Exempt - Version closely related to 2.3.1","BSD-3-Clause,KEYWORD,MPL-2.0,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/tough-cookie"
"traverse","0.3.9","false","Previously pedigree reviewed","KEYWORD,MIT","","Needs Review","node_modules/traverse"
"tunnel-agent","0.6.0","false","Exempt - Expected license matched","Apache-2.0","Apache-2.0","Approved","node_modules/tunnel-agent"
"tweetnacl","0.14.5","false","Previously pedigree reviewed","KEYWORD,Public Domain,UNKNOWN","","Needs Review","node_modules/tweetnacl"
"typedarray","0.0.6","false","Previously pedigree reviewed","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/typedarray"
"uglify-js","2.8.29","false","Previously pedigree reviewed","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/uglify-js"
"source-map","0.5.7","false","Exempt - Version closely related to 0.5.3","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/uglify-js/node_modules/source-map"
"uglify-to-browserify","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/uglify-to-browserify"
"untildify","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/untildify"
"unzip-response","2.0.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/unzip-response"
"unzip2","0.2.5","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/unzip2"
"url-parse-lax","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/url-parse-lax"
"user-home","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/user-home"
"util-deprecate","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/util-deprecate"
"uuid","3.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/uuid"
"validate-npm-package-license","3.0.1","false","Previously pedigree reviewed","Apache-2.0,BSD-2-Clause,GPL-3.0,UNKNOWN","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/validate-npm-package-license"
"verror","1.10.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/verror"
"vinyl","2.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/vinyl"
"vinyl-file","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/vinyl-file"
"which","1.3.0","true","New version and not exempt","ISC","ISC","Approved","node_modules/which"
"window-size","0.1.0","false","Exempt - Version closely related to 0.1.2","MIT","","Approved","node_modules/window-size"
"wordwrap","0.0.3","false","Exempt - Version closely related to 0.0.2","MIT","MIT","Approved","node_modules/wordwrap"
"wrappy","1.0.2","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/wrappy"
"xtend","4.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/xtend"
"yallist","2.1.2","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/yallist"
"yargs","3.10.0","false","Previously pedigree reviewed","KEYWORD,MIT","MIT","Needs Review","node_modules/yargs"
"yeoman-environment","1.6.6","true","New package and not exempt","","BSD-2-Clause","Approved | Reference Only","node_modules/yeoman-environment"
"glob","6.0.4","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/yeoman-environment/node_modules/glob"
"globby","4.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/yeoman-environment/node_modules/globby"
"yeoman-generator","1.1.1","false","Exempt - Expected license matched","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/yeoman-generator"
"async","2.5.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/yeoman-generator/node_modules/async"
"minimist","1.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/yeoman-generator/node_modules/minimist"
